SCORE,MAX_DEPTH,MIN_SAMPLES_PER_LEAF
0.7861842105263157,1,10
0.7861842105263157,1,15
0.7861842105263157,1,20
0.7861842105263157,1,25
0.7861842105263157,1,30
0.7861842105263157,1,35
0.7861842105263157,1,40
0.7861842105263157,1,45
0.7861842105263157,1,50
0.7861842105263157,1,55
0.7861842105263157,1,60
0.7993421052631579,2,10
0.7993421052631579,2,15
0.7993421052631579,2,20
0.7993421052631579,2,25
0.7993421052631579,2,30
0.7993421052631579,2,35
0.7993421052631579,2,40
0.7993421052631579,2,45
0.7993421052631579,2,50
0.7993421052631579,2,55
0.7993421052631579,2,60
0.8077485380116958,3,10
0.8077485380116958,3,15
0.8077485380116958,3,20
0.8077485380116958,3,25
0.8077485380116958,3,30
0.8077485380116958,3,35
0.8077485380116958,3,40
0.8077485380116958,3,45
0.8077485380116958,3,50
0.8077485380116958,3,55
0.8077485380116958,3,60
0.8073830409356724,4,10
0.8073830409356724,4,15
0.8073830409356724,4,20
0.8073830409356724,4,25
0.8073830409356724,4,30
0.8293128654970758,4,35
0.8293128654970758,4,40
0.8293128654970758,4,45
0.8293128654970758,4,50
0.8293128654970758,4,55
0.8293128654970758,4,60
0.7781432748538011,5,10
0.7781432748538011,5,15
0.7781432748538011,5,20
0.7781432748538011,5,25
0.7781432748538011,5,30
0.8329678362573099,5,35
0.8329678362573099,5,40
0.8329678362573099,5,45
0.8329678362573099,5,50
0.8329678362573099,5,55
0.8329678362573099,5,60
0.7701023391812865,6,10
0.7701023391812865,6,15
0.7701023391812865,6,20
0.7781432748538011,6,25
0.775219298245614,6,30
0.7956871345029239,6,35
0.7956871345029239,6,40
0.7956871345029239,6,45
0.7956871345029239,6,50
0.7956871345029239,6,55
0.7956871345029239,6,60
0.7540204678362572,7,10
0.7540204678362572,7,15
0.7540204678362572,7,20
0.7591374269005846,7,25
0.7627923976608186,7,30
0.8103070175438596,7,35
0.8103070175438596,7,40
0.8103070175438596,7,45
0.8103070175438596,7,50
0.8103070175438596,7,55
0.8103070175438596,7,60
0.6798245614035088,8,10
0.6798245614035088,8,15
0.6798245614035088,8,20
0.6820175438596491,8,25
0.685672514619883,8,30
0.7317251461988303,8,35
0.7317251461988303,8,40
0.7317251461988303,8,45
0.7317251461988303,8,50
0.7317251461988303,8,55
0.7317251461988303,8,60
0.714546783625731,9,10
0.714546783625731,9,15
0.7247807017543859,9,20
0.727704678362573,9,25
0.7313596491228069,9,30
0.7744883040935672,9,35
0.7744883040935672,9,40
0.7744883040935672,9,45
0.7744883040935672,9,50
0.7744883040935672,9,55
0.7744883040935672,9,60
0.7262426900584795,10,10
0.7152777777777778,10,15
0.7255116959064327,10,20
0.7284356725146198,10,25
0.7313596491228069,10,30
0.7744883040935673,10,35
0.7744883040935673,10,40
0.7744883040935672,10,45
0.7744883040935672,10,50
0.7744883040935672,10,55
0.7744883040935672,10,60
0.7262426900584795,11,10
0.7255116959064327,11,15
0.7262426900584795,11,20
0.7291666666666666,11,25
0.7320906432748537,11,30
0.7605994152046783,11,35
0.7605994152046783,11,40
0.7605994152046783,11,45
0.7605994152046783,11,50
0.7744883040935672,11,55
0.7744883040935672,11,60
