AUC ROC,Number of Trees,Max Depth,Min Samples per Leaf
0.6187865497076023,6,1,10
0.763157894736842,6,1,15
0.5109649122807017,6,1,20
0.6249999999999999,6,1,25
0.5109649122807017,6,1,30
0.5,6,1,35
0.7441520467836258,6,1,40
0.6114766081871345,6,1,45
0.5263157894736842,6,1,50
0.6546052631578947,6,1,55
0.5263157894736842,6,1,60
0.697733918128655,6,2,10
0.739766081871345,6,2,15
0.8183479532163743,6,2,20
0.6911549707602339,6,2,25
0.7821637426900585,6,2,30
0.7503654970760234,6,2,35
0.8333333333333333,6,2,40
0.7997076023391814,6,2,45
0.6571637426900584,6,2,50
0.6644736842105262,6,2,55
0.611842105263158,6,2,60
0.6681286549707602,6,3,10
0.6301169590643274,6,3,15
0.8238304093567251,6,3,20
0.8954678362573099,6,3,25
0.650219298245614,6,3,30
0.8179824561403508,6,3,35
0.7843567251461987,6,3,40
0.8216374269005847,6,3,45
0.7927631578947367,6,3,50
0.6823830409356724,6,3,55
0.8150584795321638,6,3,60
0.8062865497076024,6,4,10
0.8399122807017544,6,4,15
0.7887426900584794,6,4,20
0.7660818713450293,6,4,25
0.7306286549707601,6,4,30
0.7920321637426899,6,4,35
0.7642543859649122,6,4,40
0.824561403508772,6,4,45
0.7858187134502923,6,4,50
0.7467105263157895,6,4,55
0.8026315789473685,6,4,60
0.7960526315789473,6,5,10
0.7478070175438596,6,5,15
0.7127192982456141,6,5,20
0.7569444444444445,6,5,25
0.7598684210526316,6,5,30
0.8223684210526316,6,5,35
0.8099415204678362,6,5,40
0.7631578947368421,6,5,45
0.808845029239766,6,5,50
0.7850877192982456,6,5,55
0.8267543859649122,6,5,60
0.8165204678362572,6,6,10
0.7620614035087718,6,6,15
0.8384502923976607,6,6,20
0.7763157894736841,6,6,25
0.8048245614035088,6,6,30
0.6988304093567251,6,6,35
0.7540204678362573,6,6,40
0.7744883040935673,6,6,45
0.6823830409356725,6,6,50
0.7320906432748538,6,6,55
0.8128654970760233,6,6,60
0.7671783625730995,6,7,10
0.7430555555555556,6,7,15
0.7934941520467835,6,7,20
0.6695906432748537,6,7,25
0.7372076023391813,6,7,30
0.6323099415204678,6,7,35
0.8015350877192983,6,7,40
0.7273391812865497,6,7,45
0.7880116959064327,6,7,50
0.8548976608187134,6,7,55
0.7847222222222222,6,7,60
0.7423245614035089,6,8,10
0.804824561403509,6,8,15
0.6761695906432748,6,8,20
0.7192982456140351,6,8,25
0.7971491228070176,6,8,30
0.6630116959064327,6,8,35
0.8216374269005848,6,8,40
0.7836257309941521,6,8,45
0.7905701754385965,6,8,50
0.7346491228070176,6,8,55
0.7627923976608186,6,8,60
0.8135964912280702,6,9,10
0.7134502923976607,6,9,15
0.736842105263158,6,9,20
0.7883771929824561,6,9,25
0.7379385964912281,6,9,30
0.7781432748538012,6,9,35
0.7021198830409356,6,9,40
0.8139619883040937,6,9,45
0.7445175438596492,6,9,50
0.7269736842105263,6,9,55
0.7463450292397661,6,9,60
0.7657163742690059,6,10,10
0.7934941520467836,6,10,15
0.7741228070175439,6,10,20
0.6853070175438596,6,10,25
0.7916666666666666,6,10,30
0.8340643274853801,6,10,35
0.8373538011695907,6,10,40
0.764985380116959,6,10,45
0.7412280701754386,6,10,50
0.873172514619883,6,10,55
0.8472222222222223,6,10,60
0.7576754385964912,6,11,10
0.8008040935672516,6,11,15
0.7591374269005848,6,11,20
0.7686403508771928,6,11,25
0.7609649122807016,6,11,30
0.7156432748538011,6,11,35
0.7839912280701753,6,11,40
0.8008040935672514,6,11,45
0.6531432748538011,6,11,50
0.8530701754385965,6,11,55
0.7353801169590644,6,11,60
0.5263157894736842,9,1,10
0.5394736842105263,9,1,15
0.5263157894736842,9,1,20
0.6249999999999999,9,1,25
0.5394736842105263,9,1,30
